District,State,total_hospitals,avg_rating,best_hospital_city,best_rating
Agra,Uttar Pradesh,3,4.03,Agra,4.1
Ahmedabad,Gujarat,74,4.27,Ahmedabad,5.0
Ahmednagar,Maharashtra,2,3.45,Ahmednagar,4.0
Ajmer,Rajasthan,3,4.17,Ajmer,4.6
Aligarh,Uttar Pradesh,1,4.5,Aligarh,4.5
Alwar,Rajasthan,7,4.24,Alwar,5.0
Ambala,Haryana,13,4.1,Ambala,4.7
Amritsar,Punjab,43,4.01,Amritsar,5.0
Ananthapuramu,Andhra Pradesh,2,4.5,Anantpur,4.9
Aurangabad,Maharashtra,3,4.0,Aurangabad,4.3
Ballari,Karnataka,3,3.63,Bellary,4.3
Balotra,Rajasthan,1,4.9,Balotra,4.9
Bangalore Rural,Andhra Pradesh,1,4.0,Nelamangala,4.0
Bangalore Rural,Karnataka,1,3.1,Nelamangala,3.1
Bangalore Urban,Karnataka,171,4.02,Bangalore,5.0
Banswara,Rajasthan,1,4.0,Banswara,4.0
Bareilly,Uttar Pradesh,14,3.74,Bareilly,4.3
Barmer,Rajasthan,1,4.1,Barmer,4.1
Bathinda,Punjab,5,4.5,Bhatinda,4.9
Belagavi,Karnataka,10,3.72,Belgaum,4.9
Bharatpur,Rajasthan,2,3.9,Bharatpur,4.4
Bharuch,Gujarat,1,4.6,Bharuch,4.6
Bhilwara,Rajasthan,4,3.95,Bhilwara,4.5
Bhopal,Madhya Pradesh,7,4.16,Bhopal,4.8
Bidar,Karnataka,3,3.57,Bidar,3.8
Bijapur,Karnataka,4,3.68,Bijapur,3.9
Bijnor,Uttar Pradesh,1,4.0,Bijnore,4.0
Bikaner,Rajasthan,3,3.9,Bikaner,4.7
Bilaspur,Himachal Pradesh,2,3.45,Bilaspur,3.9
Bokaro,Jharkhand,7,3.34,Bokaro,4.2
Chamarajanagar,Karnataka,1,3.2,Chamrajnagar,3.2
Chandigarh,Chandigarh,4,4.28,Chandigarh,4.5
Chengalpattu,Tamilnadu,1,4.3,Chengalpattu,4.3
Chennai,Tamilnadu,147,4.1,Chennai,4.9
Chikmagalur,Karnataka,5,4.16,Chickmangalore,4.8
Chitradurga,Karnataka,3,4.23,Chitradurga,4.5
Chittoor,Andhra Pradesh,2,3.95,Chittoor,4.0
Chittorgarh,Rajasthan,2,3.95,Chittorgarh,4.1
Churu,Rajasthan,1,4.4,Churu,4.4
Coimbatore,Tamilnadu,31,3.95,Pollachi,4.9
Cuddalore,Tamilnadu,1,2.9,Cuddalore,2.9
Cuttack,Orissa,4,4.0,Cuttack,4.8
Dakshina Kannada,Karnataka,13,3.66,Mangalore,3.9
Darbhanga,Bihar,1,3.5,Darbhanga,3.5
Darjeeling,West Bengal,1,3.5,Siliguri,3.5
Davanagere,Karnataka,4,3.95,Davangere,4.8
Dehradun,Uttarakhand,4,3.68,Dehradun,4.2
Dhanbad,Jharkhand,3,3.93,Dhanbad,4.1
Dharwad,Karnataka,18,3.98,Hubli,4.2
Dhule,Maharashtra,1,4.9,Dhule,4.9
Dibrugarh,Assam,2,4.0,Dibrugarh,4.5
East Godavari,Andhra Pradesh,3,4.73,Rajahmundry,5.0
Ernakulam,Kerala,17,4.11,Kochi,4.8
Erode,Tamilnadu,4,4.38,Erode,4.7
Faridabad,Haryana,37,4.02,Faridabad,5.0
Fatehabad,Haryana,1,4.2,Fatehabad,4.2
Gandhinagar,Gujarat,3,4.27,Gandhi Nagar,4.7
Ganjam,Orissa,2,4.1,Berhampur,4.5
Gautam Buddha Nagar,Uttar Pradesh,23,4.15,Noida,4.8
Ghaziabad,Uttar Pradesh,27,4.04,Ghaziabad,4.9
Guntur,Andhra Pradesh,37,4.0,Guntur,5.0
Gurdaspur,Punjab,1,3.5,Gurdaspur,3.5
Gurugram,Haryana,22,4.02,Gurgaon,4.8
Gwalior,Madhya Pradesh,3,3.87,Gwalior,4.7
Hanumangarh,Rajasthan,1,4.4,Hanumangarh Jn,4.4
Hapur,Uttar Pradesh,1,4.0,Hapur,4.0
Haridwar,Uttarakhand,3,3.73,Haridwar,4.1
Hassan,Karnataka,8,3.97,Hassan,4.1
Hisar,Haryana,1,4.0,Hisar,4.0
Hooghly,West Bengal,4,3.12,Hoogli,3.5
Howrah,West Bengal,7,3.89,Howrah,4.7
Hyderabad,Telangana,314,3.98,Hyderabad,5.0
Indore,Madhya Pradesh,22,3.97,Indore,4.7
Jabalpur,Madhya Pradesh,2,3.4,Jabalpur,4.0
Jaipur,Rajasthan,74,4.16,Jaipur,5.0
Jalandhar,Punjab,25,4.06,Jalandhar,4.8
Jalgaon,Maharashtra,2,3.85,Jalgaon,4.1
Jalna,Maharashtra,2,4.45,Jalna,4.8
Jalore,Rajasthan,1,4.2,Jalore City,4.2
Jammu,Jammu Kashmir,4,3.72,Jammu,4.3
Jaunpur,Uttar Pradesh,1,4.1,Jaunpur,4.1
Jhajjar,Haryana,2,3.45,Bahadurgarh,4.2
Jhunjhunu,Rajasthan,5,4.14,Jhunjhunu,4.7
Jodhpur,Rajasthan,14,4.06,Jodhpur,4.9
Kakinada,Andhra Pradesh,2,4.8,Kakinada,4.9
Kalaburagi,Karnataka,4,3.6,Gulbarga,4.4
Kamrup Metropolitan,Assam,3,4.83,Guwahati,4.9
Kanchipuram,Tamilnadu,1,4.5,Kanchipuram,4.5
Kangra,Himachal Pradesh,1,4.6,Kangra,4.6
Kannur,Kerala,4,3.12,Kannur,3.8
Kanpur Nagar,Uttar Pradesh,10,4.06,Kanpur,4.6
Kanyakumari,Tamilnadu,6,4.33,Nagercoil,5.0
Karimnagar,Telangana,6,4.35,Karimnagar,4.7
Karnal,Haryana,6,4.35,Karnal,5.0
Karur,Tamilnadu,2,4.7,Karur,4.8
Khordha,Orissa,9,4.09,Bhubaneswar,4.8
Kodagu,Karnataka,1,3.8,Madikeri,3.8
Kolar,Karnataka,4,4.07,Kolar,4.1
Kolhapur,Maharashtra,2,4.05,Kolhapur,4.1
Kolkata,West Bengal,48,4.05,Kolkata,4.7
Kollam,Kerala,3,3.7,Kollam,3.9
Koppal,Karnataka,1,4.1,Koppal,4.1
Kota,Rajasthan,13,4.05,Kota,4.7
Kottayam,Kerala,2,4.15,Kottayam,4.2
Kozhikode,Kerala,7,4.03,Calicut,4.5
Krishna,Andhra Pradesh,27,4.21,Vijaywada,5.0
Krishnagiri,Tamilnadu,2,3.2,Hosur,4.4
Kurnool,Andhra Pradesh,5,4.1,Kurnool,4.8
Kurukshetra,Haryana,1,3.1,Kurushestra,3.1
Lucknow,Uttar Pradesh,8,4.19,Lucknow,4.6
Ludhiana,Punjab,25,4.28,Ludhiana,5.0
Madurai,Tamilnadu,14,4.25,Madurai,5.0
Malappuram,Kerala,2,3.55,Mallapuram,4.0
Mandi,Himachal Pradesh,3,4.13,Mandi,4.7
Mandsaur,Madhya Pradesh,1,4.5,Mandsaur,4.5
Mandya,Karnataka,5,3.82,Mandya,3.9
Mathura,Uttar Pradesh,1,4.0,Mathura,4.0
Meerut,Uttar Pradesh,23,3.95,Meerut,4.6
Moradabad,Uttar Pradesh,5,4.06,Moradabad,4.6
Mumbai City,Maharashtra,140,4.16,Mumbai,5.0
Murshidabad,West Bengal,1,4.0,Behrampore,4.0
Muzaffarpur,Bihar,1,4.7,Muzffarpur,4.7
Mysore,Karnataka,24,4.16,Mysore,5.0
Nagaur,Rajasthan,1,4.3,Nagaur,4.3
Nagpur,Maharashtra,12,3.68,Nagpur,4.6
Nainital,Uttarakhand,3,3.9,Haldwani,4.2
Namakkal,Tamilnadu,3,4.0,Namakkal,4.7
Nandyal,Andhra Pradesh,4,3.65,Nandyal,4.2
Nashik,Maharashtra,4,4.45,Nasik,5.0
Nellore,Andhra Pradesh,15,4.14,Nellore,4.9
New Delhi,Delhi,130,3.95,New Delhi,5.0
Nilgiris,Tamilnadu,1,4.5,Ooty,4.5
North 24 Parganas,West Bengal,1,4.1,"North 24 
Parganas",4.1
North Goa,Goa,5,3.86,Goa,4.6
Palakkad,Kerala,1,4.4,Palakkad,4.4
Pali,Rajasthan,1,4.3,Pali,4.3
Palwal,Haryana,2,4.75,Palwal,4.9
Panchkula,Haryana,6,4.43,Panchkula,4.8
Panipat,Haryana,4,3.98,Panipat,4.8
Paschim Bardhaman,West Bengal,3,3.27,Durgapur,3.8
Paschim Medinipur,West Bengal,2,3.95,Medinipur,4.1
Pathankot,Punjab,2,4.3,Pathankot,4.5
Patiala,Punjab,3,4.67,Patiala,5.0
Patna,Bihar,7,3.9,Patna,4.6
Prakasam,Andhra Pradesh,6,3.87,Ongole,4.7
Prayagraj,Uttar Pradesh,3,4.1,Allahabad,4.2
Puducherry,Pondicherry,2,4.6,Pondicherry,4.8
Pudukkottai,Tamilnadu,1,4.7,Pudukkottai,4.7
Pune,Maharashtra,111,4.15,Pune,5.0
Purba Bardhaman,West Bengal,1,4.6,Burdhwan,4.6
Purnia,Bihar,1,3.0,Purnea,3.0
Raigad,Maharashtra,12,4.12,Raigad,4.8
Raipur,Chattisgarh,10,4.09,Raipur,4.9
Rajkot,Gujarat,2,3.55,Rajkot,3.9
Ramanagara,Karnataka,2,4.5,Ramanagra,4.5
Rewari,Haryana,4,3.9,Rewari,4.5
Rohtak,Haryana,2,4.4,Rohtak,4.4
Rupnagar,Punjab,1,4.1,Ropar,4.1
Sabarkantha,Gujarat,1,4.6,Himmatnagar,4.6
Sahibzada Ajit Singh Nagar,Punjab,12,3.99,Mohali,4.8
Salem,Tamilnadu,13,3.94,Salem,4.9
Sangareddy,Telangana,1,4.3,Sangareddy,4.3
Sawai Madhopur,Rajasthan,1,4.1,Sawai Madhopur,4.1
Shahdol,Madhya Pradesh,1,4.6,Shahdol,4.6
Shimoga,Karnataka,7,3.84,Shimoga,4.9
Sikar,Rajasthan,2,3.75,Sikar,3.9
Sirsa,Haryana,2,4.85,Sirsa,4.9
Sivaganga,Tamilnadu,1,4.8,Karaikudi,4.8
Solan,Himachal Pradesh,3,3.97,Solan,4.2
Sonipat,Haryana,1,3.3,Sonepat,3.3
Sri Ganganagar,Rajasthan,5,4.02,Sriganganagar,4.7
Srikakulam,Andhra Pradesh,1,3.5,Srikakulam,3.5
Srinagar,Jammu Kashmir,3,4.2,Srinagar,4.8
Surat,Gujarat,5,4.48,Surat,4.9
Thane,Maharashtra,227,4.01,Thane,5.0
Thanjavur,Tamilnadu,2,4.2,Thanjavur,4.5
Theni,Tamilnadu,1,4.4,Theni,4.4
Thiruvananthapuram,Kerala,3,4.3,Trivandrum,4.4
Thoothukudi,Tamilnadu,3,4.23,Tuticorin,4.7
Thrissur,Kerala,4,4.5,Trichur,4.8
Tiruchirappalli,Tamilnadu,4,3.95,Trichy,4.6
Tirunelveli,Tamilnadu,1,3.5,Tirunelveli,3.5
Tirupati,Andhra Pradesh,13,4.29,Tirupati,4.9
Tiruppur,Tamilnadu,3,3.4,Tiruppur,4.2
Tiruvannamalai,Tamilnadu,1,3.4,Tiruvannamalai,3.4
Tonk,Rajasthan,1,3.5,Tonk,3.5
Tumakuru,Karnataka,19,3.87,Tumkur,4.8
Udaipur,Rajasthan,9,4.26,Udaipur,4.8
Udham Singh Nagar,Uttarakhand,5,4.0,"Udhamsinghnaga
R",4.8
Udupi,Karnataka,7,3.9,Udupi,4.4
Ujjain,Madhya Pradesh,2,4.25,Ujjain,4.6
Uttara Kannada,Karnataka,3,3.63,Karwar,4.2
Vadodara,Gujarat,28,4.23,Vadodara,4.9
Vaishali,Bihar,1,4.9,Hajipur,4.9
Valsad,Gujarat,1,3.4,Vapi,3.4
Varanasi,Uttar Pradesh,4,3.97,Varanasi,4.1
Vellore,Tamilnadu,1,4.4,Vellore,4.4
Vijayanagara,Karnataka,2,4.1,Hospet,4.1
Virudhunagar,Tamilnadu,1,4.6,Sivakasi,4.6
Visakhapatnam,Andhra Pradesh,24,4.0,Visakhapatnam,4.9
Warangal,Telangana,2,3.2,Warangal,3.8
Wayanad,Kerala,1,3.6,Wayanand,3.6
West Godavari,Andhra Pradesh,8,3.89,Tanuku,4.6
Yamunanagar,Haryana,2,3.6,Yamuna Nagar,4.3
Ysr Kadapa,Andhra Pradesh,9,3.73,Kadapa,4.9
